date/time,open,high,low,close,volume
2014-09-05,115.9400,116.7600,115.7300,116.3900,1083200
2014-08-29,114.7700,115.7000,113.9200,114.3200,1210300
2014-08-22,117.0100,117.4700,113.9400,114.0900,1439600
2014-08-15,116.7300,118.3300,116.2600,116.8900,1126900
2014-08-08,117.9300,119.8200,115.4300,117.6300,1435700
2014-08-01,119.9600,121.4600,117.2900,117.5900,1362900
2014-07-25,118.6900,120.0000,118.0300,119.6300,725600
2014-07-18,119.3700,119.5200,118.2000,118.9000,988400
2014-07-11,121.2500,121.8000,116.6100,118.5200,1778400
2014-07-03,119.7500,122.3500,119.4400,121.7300,1425400
2014-06-27,117.1000,118.9400,116.5000,118.8400,1210800
2014-06-20,114.2700,118.4200,113.9000,118.2200,1981800
2014-06-13,115.0000,115.3100,113.3800,114.2400,1253700
2014-06-06,114.1200,115.4600,113.2700,115.1500,2501300
2014-05-30,109.9300,113.3900,109.5000,113.1100,1353700
2014-05-23,108.1100,109.9000,107.5900,109.6400,1721800
2014-05-16,108.8700,111.5400,108.6000,109.6100,2105200
2014-05-09,109.7800,109.9300,107.5300,108.8700,1761400
2014-05-02,107.4000,110.1800,106.3500,109.9300,1918400
2014-04-25,108.9000,108.9300,106.3500,106.4900,1893800
2014-04-17,107.1800,108.6200,105.6700,108.0200,1751200
2014-04-11,111.5100,111.7600,103.3800,104.8900,4579000
2014-04-04,113.1000,113.5900,111.0300,111.2600,2422900
2014-03-28,108.3000,113.7200,107.1900,112.8300,2668600
2014-03-21,110.0700,110.8100,106.3100,107.3700,2352100
2014-03-14,113.6100,113.8000,108.4900,108.7600,2092800
2014-03-07,113.8400,115.2800,112.8300,113.9600,2065900
2014-02-28,116.0500,116.9200,114.8600,115.3000,1394100
2014-02-21,116.5200,117.1100,114.8600,116.3400,1225500
2014-02-14,117.5000,118.4100,114.8600,115.1700,2258500
2014-02-07,113.9700,117.6600,110.7500,117.3800,2875100
2014-01-31,117.8800,118.3200,113.6100,114.7600,2675900
2014-01-24,120.5000,121.7400,117.7100,117.8800,1949200
2014-01-17,120.5000,120.5000,118.6700,119.1900,1973700
2014-01-10,120.8800,120.9800,119.5900,120.8100,1677200
2014-01-03,122.8700,122.8700,119.8700,120.5100,1288500
2013-12-27,118.9500,122.4800,118.2500,121.8800,1411900
2013-12-20,118.5600,121.0900,118.1100,118.7500,2718100
2013-12-13,122.6500,122.9300,118.9200,119.2200,2023000
2013-12-06,124.8200,125.5500,121.2600,122.7400,2143900
2013-11-29,126.5000,126.5000,124.7600,125.0500,985400
2013-11-22,127.6100,128.6000,125.1100,126.3100,2883700
2013-11-15,126.8700,128.3200,125.9800,127.9800,1908400
2013-11-08,130.0000,130.3500,125.7400,127.3700,2021300
2013-11-01,129.0000,130.4800,128.2200,129.7600,1640000
2013-10-25,129.3700,132.5300,128.5000,128.6900,1705300
2013-10-18,130.0000,131.1800,128.7000,129.5200,1619700
2013-10-11,125.4600,131.6500,123.5000,131.6500,2078500
2013-10-04,127.4900,128.5000,126.1300,128.0100,1221600
2013-09-27,129.4100,132.3400,128.8400,130.2600,1205900
2013-09-20,128.0000,131.1700,126.1000,129.4500,2082000
2013-09-13,125.6200,127.7500,125.5100,126.8000,1466800
2013-09-06,124.0000,126.4800,123.7200,125.5500,1608100
2013-08-30,126.2700,126.3700,120.6200,120.7900,1322600
2013-08-23,128.8800,129.1300,122.5400,127.0100,1322200
2013-08-16,128.5000,130.5500,127.0000,128.8800,1345400
2013-08-09,129.1700,130.0300,127.1400,127.5700,2581000
2013-08-02,120.8200,134.9400,120.1100,134.3300,3241600
2013-07-26,130.0000,130.7800,122.9200,124.4900,1836100
2013-07-19,129.9900,131.5000,128.0800,130.3600,2351200
2013-07-12,124.8800,129.6900,124.3600,129.6900,1713400
2013-07-05,122.3900,125.9800,121.2600,125.2700,1730300
2013-06-28,117.3500,122.0400,115.2800,120.6600,2626400
2013-06-21,120.0500,123.1800,116.5700,119.5500,3436500
2013-06-14,121.6800,121.8300,116.7900,117.3800,3355600
